Id,Label,0,modularity_class
"d. Oliveira, J. F. L.","d. Oliveira, J. F. L.",98,118
"Mostaghim, S.","Mostaghim, S.",99,45
"d. Medeiros, H. G.","d. Medeiros, H. G.",100,45
"Neto, A. A. F.","Neto, A. A. F.",101,118
"Fussuma, F. L.","Fussuma, F. L.",107,36
"Delgado, K. V.","Delgado, K. V.",107;228;413,36
"Vianna, L. G. R.","Vianna, L. G. R.",108,36
"Sanner, S.","Sanner, S.",108,36
"Maua, D. D.","Maua, D. D.",116;271;399;466,36
"d. Campos, C. P.","d. Campos, C. P.",116,36
"Antonucci, A.","Antonucci, A.",116,36
"d. Oliveira, R. T.","d. Oliveira, R. T.",117,19
"Lorena, L. H. N.","Lorena, L. H. N.",118,112
"Lorena, L. A. N.","Lorena, L. A. N.",118,112
"d. L. F. d. Carvalho, A. C. P.","d. L. F. d. Carvalho, A. C. P.",118;141;379;390,112
"Alencar, A. S. C.","Alencar, A. S. C.",121;209,37
"Gomes, J. P. P.","Gomes, J. P. P.",121;209;213;229;231;239;280;281;286;287;333;432;433,37
"Souza, A. H.","Souza, A. H.",121,37
"Freire, L. A. M.","Freire, L. A. M.",121,37
"Silva, J. W. F.","Silva, J. W. F.",121,37
"Andrade, R. M. C.","Andrade, R. M. C.",121;209,37
"Castro, M. F.","Castro, M. F.",121,37
"Tsoumakas, G.","Tsoumakas, G.",126,19
"Lee, H.","Lee, H.",126,19
"Bicalho, P. V.","Bicalho, P. V.",130,24
"d. O. Cunha, T.","d. O. Cunha, T.",130,24
"Mourao, F. H. J.","Mourao, F. H. J.",130,24
"Igawa, R. A.","Igawa, R. A.",132,112
"Kido, G. S.","Kido, G. S.",132,112
"Seixas, J. L.","Seixas, J. L.",132,112
"Barbon, S.","Barbon, S.",132;296;365;379;398,112
"d. Almeida, C. P.","d. Almeida, C. P.",137;138,45
"Goldbarg, E. F.","Goldbarg, E. F.",137,45
"Venske, S. M.","Venske, S. M.",138;159;245,45
"d. Souza, M. Z.","d. Souza, M. Z.",139;172,45
"Takiyama, F. I.","Takiyama, F. I.",149,36
"d. Souza, L. S.","d. Souza, L. S.",154,90
"d. A. Barros, F.","d. A. Barros, F.",154,90
"Castro, O. R.","Castro, O. R.",156,45
"Garcia, K. D.","Garcia, K. D.",157,90
"Guizzo, G.","Guizzo, G.",158;241,45
"Kuk, J. N.","Kuk, J. N.",159;245,45
"Ferreira, A. S.","Ferreira, A. S.",160,45
"Perroni, P. F.","Perroni, P. F.",161,45
"Weingaertner, D.","Weingaertner, D.",161,45
"Jaskowiak, P. A.","Jaskowiak, P. A.",165,90
"d. Lucena, D. C. G.","d. Lucena, D. C. G.",166,90
"Oliveira, L. S.","Oliveira, L. S.",167,19
"Lacerda, A.","Lacerda, A.",169;194;261;353,24
"d. Oliveira, G. V.","d. Oliveira, G. V.",170,90
"Panisson, A. R.","Panisson, A. R.",174;217;220;362,50
"Meneguzzi, F.","Meneguzzi, F.",174;249,50
"Vieira, R.","Vieira, R.",174;182;183;360;417,50
"Bordin, R. H.","Bordin, R. H.",174,50
"Ligozat, G.","Ligozat, G.",179,36
"Safi-Samghabad, M.","Safi-Samghabad, M.",179,36
"Lopes, L.","Lopes, L.",182,50
"Fernandes, P.","Fernandes, P.",182,50
"Granada, R.","Granada, R.",182,50
"d. Freitas, L. A.","d. Freitas, L. A.",183,50
"Pinheiro, R. H. W.","Pinheiro, R. H. W.",185;258,75
"Cavalcanti, G. D. C.","Cavalcanti, G. D. C.",185;203;235;258,75
"Ren, T. I.","Ren, T. I.",185,75
"d. P. Neto, F. M.","d. P. Neto, F. M.",186;201;411;424,118
"d. Oliveira, W. R.","d. Oliveira, W. R.",186;201,118
"d. Silva, A. J.","d. Silva, A. J.",186;201,118
"Simoes, E. C.","Simoes, E. C.",188,118
"Cagnin, H. E. L.","Cagnin, H. E. L.",191,112
"Winck, A. T.","Winck, A. T.",191,112
"Veloso, A.","Veloso, A.",194,24
"Ziviani, N.","Ziviani, N.",194,24
"Fritsche, G.","Fritsche, G.",195;358;443,45
"Strickler, A.","Strickler, A.",195;216,45
"Santana, R.","Santana, R.",195;216;459,45
"d. Freitas, M. B.","d. Freitas, M. B.",203,75
"Sabourin, R.","Sabourin, R.",203;334,75
"Caldas, W. L.","Caldas, W. L.",209;231,37
"d. Souza, A. H.","d. Souza, A. H.",209;281,37
"Aguilar, P. A. C.","Aguilar, P. A. C.",209,37
"Rodrigues, C.","Rodrigues, C.",209,37
"Franco, W.","Franco, W.",209,37
"d. Castro, M. F.","d. Castro, M. F.",209,37
"Veras, R.","Veras, R.",211,75
"Silva, R.","Silva, R.",211;370,75
"Araujo, F.","Araujo, F.",211,75
"Medeiros, F.","Medeiros, F.",211,75
"Rodrigues, F. C. M.","Rodrigues, F. C. M.",213;239,37
"Queiroz, L. P.","Queiroz, L. P.",213;239;286,37
"Machado, J. C.","Machado, J. C.",213;239;286,37
"Wehrmann, J.","Wehrmann, J.",215,112
"Simoes, G. S.","Simoes, G. S.",215,112
"Paula, T. S.","Paula, T. S.",215,112
"Ruiz, D. D.","Ruiz, D. D.",215,112
"Castro, O.","Castro, O.",216,45
"Bordini, R. H.","Bordini, R. H.",217;220;248;249;362;421,50
"d. Silva, F. L.","d. Silva, F. L.",218;230,36
"Glatt, R.","Glatt, R.",218;230;317,36
"Melo, V. S.","Melo, V. S.",220,50
"Mantovani, R. G.","Mantovani, R. G.",221,112
"Horvath, T.","Horvath, T.",221,112
"Vanschoren, J.","Vanschoren, J.",221,112
"Albinati, J.","Albinati, J.",222;405,24
"d. Santos, D. P.","d. Santos, D. P.",224,112
"Andres, I.","Andres, I.",226,36
"Freire, V.","Freire, V.",228;295;419,36
"Mesquita, D. P. P.","Mesquita, D. P. P.",229;231;287,37
"Rodrigues, L. R.","Rodrigues, L. R.",229,37
"Cacais, M. G.","Cacais, M. G.",231,37
"Quiterio, T. M.","Quiterio, T. M.",234,112
"d. Carvalho, T. B. A.","d. Carvalho, T. B. A.",235,75
"Sibaldo, M. A. A.","Sibaldo, M. A. A.",235,75
"Tsang, I. R.","Tsang, I. R.",235,75
"Tsang, I. J.","Tsang, I. J.",235,75
"Sijbers, J.","Sijbers, J.",235,75
"Sguerra, B. M.","Sguerra, B. M.",238,36
"Brito, F. T.","Brito, F. T.",239,37
"Brito, I. C.","Brito, I. C.",239,37
"Oliveira, L. O. V. B.","Oliveira, L. O. V. B.",242,24
"Otero, F. E. B.","Otero, F. E. B.",242,24
"Miranda, L. F.","Miranda, L. F.",242,24
"Pozo, A. T.","Pozo, A. T.",245;461,45
"Cardoso, R. C.","Cardoso, R. C.",248,50
"Farias, G.","Farias, G.",249,50
"Hilgert, L.","Hilgert, L.",249,50
"Bezerra, C. M. M.","Bezerra, C. M. M.",252,118
"Araujo, D. R. B.","Araujo, D. R. B.",252;283,118
"Correa, I. B.","Correa, I. B.",255,112
"Silva, H. M.","Silva, H. M.",257,118
"Medeiros, I. G.","Medeiros, I. G.",257,118
"Xavier, J. C.","Xavier, J. C.",257,118
"Fragoso, R. C. P.","Fragoso, R. C. P.",258,75
"Castro, D.","Castro, D.",259,75
"Souza, E.","Souza, E.",259;266,75
"d. Oliveira, A. L. I.","d. Oliveira, A. L. I.",259;268,75
"Pedrosa, G.","Pedrosa, G.",261,24
"Pita, M.","Pita, M.",261;343,24
"Bicalho, P.","Bicalho, P.",261,24
"Oliveira, A. L. I.","Oliveira, A. L. I.",266;332;334,75
"Oliveira, G.","Oliveira, G.",266;370,75
"Silva, A.","Silva, A.",266;331,75
"Santos, D.","Santos, D.",266,75
"Maia, S. M. D. M.","Maia, S. M. D. M.",267,45
"d. S. Pinheiro, L. D. M.","d. S. Pinheiro, L. D. M.",267,45
"Cabral, G. G.","Cabral, G. G.",268,75
"Bueno, T. P.","Bueno, T. P.",271,36
"Pontes, T.","Pontes, T.",275,118
"Vimieiro, R.","Vimieiro, R.",275;303,118
"Gomes, J. E. A.","Gomes, J. E. A.",277,90
"Nascimento, A. C. A.","Nascimento, A. C. A.",277,90
"d. Morais, R. F. A. B.","d. Morais, R. F. A. B.",279,90
"Silva, R. M. A.","Silva, R. M. A.",279,90
"Oliveira, S. A. F.","Oliveira, S. A. F.",280,37
"Neto, A. R. R.","Neto, A. R. R.",280;281,37
"d. Oliveira, A. C.","d. Oliveira, A. C.",281,37
"Filho, C. J. A. B.","Filho, C. J. A. B.",283,118
"Botelho, G.","Botelho, G.",284,45
"Silva, L.","Silva, L.",284,45
"Chaves, I. C.","Chaves, I. C.",286,37
"d. Paula, M. R. P.","d. Paula, M. R. P.",286,37
"Leite, L. G. M.","Leite, L. G. M.",286,37
"Damasceno, F. F. R.","Damasceno, F. F. R.",287,37
"Veras, M. B. A.","Veras, M. B. A.",287,37
"d. Brito, C. E. F.","d. Brito, C. E. F.",287,37
"d. Almeida, J. L. B.","d. Almeida, J. L. B.",294,118
"d. Almeida, A. M. G.","d. Almeida, A. M. G.",296,112
"Paraiso, E. C.","Paraiso, E. C.",296,112
"Kuk, J.","Kuk, J.",300,45
"Goncalves, R.","Goncalves, R.",300;322,45
"Almeida, C.","Almeida, C.",300;322,45
"Venske, S.","Venske, S.",300;322,45
"de Albuquerque Torreao, V.","de Albuquerque Torreao, V.",303,118
"Carvalho, M.","Carvalho, M.",304,45
"Vale, R.","Vale, R.",307;335,118
"Lins, R.","Lins, R.",307,118
"Ferreira, R.","Ferreira, R.",307;452,118
"Nagai, J. S.","Nagai, J. S.",314,112
"Sousa, H.","Sousa, H.",314,112
"Aono, A. H.","Aono, A. H.",314,112
"Kuroshu, R. M.","Kuroshu, R. M.",314,112
"d. S. Wanderley, M. D.","d. S. Wanderley, M. D.",316,90
"Bonini, R.","Bonini, R.",317,36
"Leno Da Silva, F.","Leno Da Silva, F.",317,36
"Spina, E.","Spina, E.",317,36
"Reali Costa, A. H.","Reali Costa, A. H.",317,36
"das Dores, S. C. N.","das Dores, S. C. N.",319,90
"Ruiz, D.","Ruiz, D.",319,90
"Nishida, C. E. H.","Nishida, C. E. H.",320;431,36
"d. C. Bianchi, R. A.","d. C. Bianchi, R. A.",320;420;431,36
"Luuders, R.","Luuders, R.",322,45
"Delgado, M.","Delgado, M.",322;459,45
"Kessaci, M.","Kessaci, M.",326,45
"Miranda, E. S.","Miranda, E. S.",327,118
"Fabris, F.","Fabris, F.",327,118
"Nascimento, C. G. M.","Nascimento, C. G. M.",327,118
"Freitas, A. A.","Freitas, A. A.",327;376,118
"Oliveira, A. C. M.","Oliveira, A. C. M.",327,118
"Dantas, A.","Dantas, A.",328,45
"dos Santos, P.","dos Santos, P.",331,75
"Araujo, I.","Araujo, I.",331,75
"Sousa, R.","Sousa, R.",331,75
"D'Castro, R. J.","D'Castro, R. J.",332,75
"Terra, A. H.","Terra, A. H.",332,75
"Dias, M. L. D.","Dias, M. L. D.",333,37
"Freire, A. L.","Freire, A. L.",333,37
"Souza Junior, A. H.","Souza Junior, A. H.",333,37
"da Rocha Neto, A. R.","da Rocha Neto, A. R.",333,37
"Souza, V. L. F.","Souza, V. L. F.",334,75
"Chevtchenko, S.","Chevtchenko, S.",335,118
"Cordeiro, F.","Cordeiro, F.",335,118
"Andrade, M. F. S.","Andrade, M. F. S.",347,118
"Cordeiro, F. R.","Cordeiro, F. R.",347,118
"Lima, F. F.","Lima, F. F.",347,118
"Hwang, S. F.","Hwang, S. F.",347,118
"Mendonca, J. C. G.","Mendonca, J. C. G.",347,118
"Britto, L. F. S.","Britto, L. F. S.",348,118
"Alcobaca, E.","Alcobaca, E.",352,90
"G. Mantovani, R.","G. Mantovani, R.",352,90
"C. P. L. F. de Carvalho, A.","C. P. L. F. de Carvalho, A.",352;368,90
"Oliveira, S.","Oliveira, S.",353,24
"Brum, P.","Brum, P.",353,24
"Pappa, G.","Pappa, G.",353,24
"Moreira, A.","Moreira, A.",360;417,50
"d. O. Gabriel, V.","d. O. Gabriel, V.",362,50
"Adamatti, D. F.","Adamatti, D. F.",362,50
"Billa, C. Z.","Billa, C. Z.",362,50
"Martiello Mastelini, S.","Martiello Mastelini, S.",365,112
"Jose Santana, E.","Jose Santana, E.",365,112
"Guilherme Turrisi da Costa, V.","Guilherme Turrisi da Costa, V.",365,112
"Rivolli, A.","Rivolli, A.",368,90
"Zamith Santos, B.","Zamith Santos, B.",369,112
"Trindade Pereira, G.","Trindade Pereira, G.",369,112
"Kenji Nakano, F.","Kenji Nakano, F.",369,112
"Amaral, L.","Amaral, L.",370,75
"Martins, L. G.","Martins, L. G.",370,75
"Xavier-Junior, J. C.","Xavier-Junior, J. C.",376;377;404,118
"Feitosa-Neto, A.","Feitosa-Neto, A.",376,118
"de Oliveira Nunes, R.","de Oliveira Nunes, R.",377,118
"Azevedo Dantas, C.","Azevedo Dantas, C.",377,118
"Magaly de Paula Canuto, A.","Magaly de Paula Canuto, A.",377,118
"d. Costa, V. G. T.","d. Costa, V. G. T.",379,112
"Mastelini, S. M.","Mastelini, S. M.",379;398,112
"Bergamini Mendes, L. G.","Bergamini Mendes, L. G.",380,45
"Kochem Vendramin, A. C.","Kochem Vendramin, A. C.",380,45
"Munaretto, A.","Munaretto, A.",380,45
"Flexa, C.","Flexa, C.",389,24
"Santos, R.","Santos, R.",389;467,24
"Gomes, W.","Gomes, W.",389,24
"Sales, C.","Sales, C.",389,24
"Padilha, V. A.","Padilha, V. A.",390;448,112
"Santana, E. J.","Santana, E. J.",398,112
"Llerena, J. V.","Llerena, J. V.",399,36
"Antunes, V.","Antunes, V.",401,118
"dos Reis, D. M.","dos Reis, D. M.",402,19
"Dantas, C. A.","Dantas, C. A.",404,118
"de O. Nunes, R.","de O. Nunes, R.",404,118
"Wilson, A. G.","Wilson, A. G.",405,24
"Okimoto, L. C.","Okimoto, L. C.",410,112
"Savii, R. M.","Savii, R. M.",410,112
"d. M. Moreira, D. A.","d. M. Moreira, D. A.",413,36
"de Barros, L. N.","de Barros, L. N.",413,36
"Meyer, J. C.","Meyer, J. C.",417,50
"da Silva, C. A.","da Silva, C. A.",419,36
"Homem, T. P. D.","Homem, T. P. D.",420,36
"Perico, D. H.","Perico, D. H.",420,36
"Brezolin, J. M. L.","Brezolin, J. M. L.",421,50
"Fiorini, S. R.","Fiorini, S. R.",421,50
"d. B. Campos, M.","d. B. Campos, M.",421,50
"de Oliveira, R. L. F.","de Oliveira, R. L. F.",422,118
"Maidana, R. G.","Maidana, R. G.",427,112
"dos Santos, J. M.","dos Santos, J. M.",427,112
"Granada, R. L.","Granada, R. L.",427,112
"d. M. Amory, A.","d. M. Amory, A.",427,112
"d. S. Lima, F. D.","d. S. Lima, F. D.",432;433,37
"Amaral, G. M. R.","Amaral, G. M. R.",432,37
"d. M. Leite, L. G.","d. M. Leite, L. G.",432;433,37
"d. C. Machado, J.","d. C. Machado, J.",432;433,37
"Pereira, F. L. F.","Pereira, F. L. F.",433,37
"de Lima, R. H. R.","de Lima, R. H. R.",440,45
"Rios, B. H. O.","Rios, B. H. O.",441,45
"de Carvalho, A. C. P. L. F.","de Carvalho, A. C. P. L. F.",448,112
"Pereira, M. A.","Pereira, M. A.",449,90
"d. F. Paiva, E. R.","d. F. Paiva, E. R.",449,90
"Candido, P. L.","Candido, P. L.",451,90
"Silva, J. A.","Silva, J. A.",451,90
"Pinheiro, A.","Pinheiro, A.",452,118
"Ferreira, M. A. D.","Ferreira, M. A. D.",452,118
"Rolim, V. B.","Rolim, V. B.",452,118
"Tenorio, J. V. S.","Tenorio, J. V. S.",452,118
"Martins, M. S. R.","Martins, M. S. R.",459,45
"Luders, R.","Luders, R.",459,45
"de Almeida, C. P.","de Almeida, C. P.",459;460;461,45
"Venske, S. M. G. S.","Venske, S. M. G. S.",460,45
"d. B. d. S. Delgado, M. R.","d. B. d. S. Delgado, M. R.",460;461,45
"Prestes, L.","Prestes, L.",461,45
"Silveira, I. C.","Silveira, I. C.",466,36
"Franciscani, G. R.","Franciscani, G. R.",467,24
"Boaventura, M.","Boaventura, M.",467,24
"Bernardina, P. D.","Bernardina, P. D.",467,24
"d. M. Minardi, R. C.","d. M. Minardi, R. C.",467,24
