Dataset,SSDP-k30-foWRAcc,SSDP3x3-k30-foWRAcc,SSDPmXcAuto-k30-foWRAcc,SSDPmXcAuto3x3-k30-foWRAcc,SSDPm10Xc90-k30-foWRAcc,SSDPm10Xc903x3-k30-foWRAcc,SSDPm50Xc50-k30-foWRAcc,SSDPm50Xc503x3-k30-foWRAcc,SD-k30-foWRAcc
alon-pn-freq-2,0.13265868886576482,0.13314255983350676,0.13238120013874433,0.1330697190426639,0.1324696496704821,0.1329760665972945,0.13233957682969127,0.13295178633368018,0.13361082206035382
alon-pn-freq-4,0.086420395421436,0.086420395421436,0.086420395421436,0.086420395421436,0.086420395421436,0.086420395421436,0.086420395421436,0.086420395421436,0.086420395421436
alon-pn-freq-8,0.045785639958376693,0.045785639958376693,0.045785639958376693,0.045785639958376693,0.045785639958376693,0.045785639958376693,0.045785639958376693,0.045785639958376693,0.045785639958376693
alon-pn-width-2,0.18873048907388149,0.19214360041623318,0.18848595213319463,0.18955428373222344,0.18584460631286856,0.1889854318418315,0.18645334720776977,0.19113770378078404,0.19353104405133556
alon-pn-width-4,0.15870100589663544,0.16496704821366628,0.15734131113423516,0.1634634061741242,0.15745404092958723,0.1630298300381547,0.1580523759972251,0.16505376344086023,0.1664758931668401
alon-pn-width-8,0.12829517863336803,0.13215400624349644,0.12828997571973638,0.13028269164065212,0.12860908775580995,0.13058446063128687,0.12533298647242455,0.13075268817204302,0.1340270551508846
borovecki-pn-freq-2,0.21900797780090192,0.21900797780090192,0.21900797780090192,0.21900797780090192,0.21900797780090192,0.21900797780090192,0.21900797780090192,0.21900797780090192,0.218522372528616
borovecki-pn-freq-4,0.12167880679847373,0.12167880679847373,0.12167880679847373,0.12167880679847373,0.12167880679847373,0.12167880679847373,0.12167880679847373,0.12167880679847373,0.12167880679847373
borovecki-pn-freq-8,0.08061047519944506,0.08061047519944506,0.08061047519944506,0.08061047519944506,0.08061047519944506,0.08061047519944506,0.08061047519944506,0.08061047519944506,0.08061047519944506
borovecki-pn-width-2,0.21924384321886917,0.21359694762400266,0.22033645508151228,0.22033645508151228,0.21993062781824485,0.21993062781824485,0.22115504682622267,0.22115504682622267,0.2096774193548387
borovecki-pn-width-4,0.2118938605619146,0.21016302462712438,0.20962539021852228,0.20962539021852228,0.21331945889698223,0.21331945889698223,0.2141935483870967,0.2141935483870967,0.2211932015261881
borovecki-pn-width-8,0.21860908775580992,0.22088102670829007,0.22047519944502256,0.22047519944502256,0.21832119320152618,0.21832119320152618,0.2135345126604232,0.21918834547346516,0.22126257370794317
burczynski-pn-freq-2,0.16773885547771092,0.1677764688862711,0.16776427552855103,0.16776530886395102,0.167757662181991,0.16775952218571102,0.16774360882055095,0.167753115506231,0.1677950689234712
