Algoritmo,Base,Repeticao,|D|,|D+|,|D-|,Atributos,|I|,Tempo,Testes,Seed,WRAcc,Qg,Chi_Quad,p_value,Lift,DiffSup,K,size,cov,conf,supp,suppP,suppN,overoll suppP,TP,FP,
MESDIF-SD,alon-pn-freq-2,1,62,40,22,2000,4000,-1.0,-1,-1,0.005723204994797087,1.0,0.5590163934426231,0.45465682425331977,1.55,0.025000000000000005,3.0,1662.3333333333333,0.016129032258064516,1.0,0.016129032258064516,0.025000000000000005,0.0,0.025,1.0,0.0
MESDIF-SD,burczynski-pn-freq-2,1,127,59,68,22283,44566,-1.0,-1,-1,0.0,0.0,NaN,NaN,NaN,0.0,3.0,22260.333333333332,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0
MESDIF-SD,chiaretti-pn-freq-2,1,128,74,54,12625,25250,-1.0,-1,-1,0.0,0.0,NaN,NaN,NaN,0.0,3.0,12597.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0
MESDIF-SD,chin-pn-freq-2,1,118,75,43,22215,44430,-1.0,-1,-1,0.0,0.0,NaN,NaN,NaN,0.0,3.0,22191.666666666668,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0
MESDIF-SD,christensen-pn-freq-2,1,217,113,104,1413,2826,-1.0,-1,-1,0.002208583745673087,1.0,0.9246148803670927,0.3362661657678476,1.9203539823008853,0.008849557522123894,3.0,1266.6666666666667,0.004608294930875576,1.0,0.004608294930875576,0.008849557522123894,0.0,0.008849557522123894,1.0,0.0
MESDIF-SD,gravier-pn-freq-2,1,168,111,57,2905,5810,-1.0,-1,-1,0.0020195578231292518,1.0,0.5165884447321574,0.47230059358848725,1.5135135135135134,0.009009009009009009,3.0,2559.0,0.005952380952380952,1.0,0.005952380952380952,0.009009009009009009,0.0,0.009009009009009009,1.0,0.0
MESDIF-SD,nakayama-pn-freq-2,1,105,21,84,22283,44566,-1.0,-1,-1,0.0,0.0,NaN,NaN,NaN,0.0,3.0,22260.333333333332,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0
MESDIF-SD,sun-pn-freq-2,1,180,81,99,54613,109227,-1.0,-1,-1,0.0,0.0,NaN,NaN,NaN,0.0,3.0,54589.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0
MESDIF-SD,tian-pn-freq-2,1,173,137,36,12625,25250,-1.0,-1,-1,0.0,0.0,NaN,NaN,NaN,0.0,3.0,12597.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0
MESDIF-SD,yeoh-pn-freq-2,1,248,79,169,12625,25250,-1.0,-1,-1,0.0,0.0,NaN,NaN,NaN,0.0,3.0,12597.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0
NMEEF-SD,alon-pn-freq-2,1,62,40,22,2000,4000,-1.0,-1,-1,0.005723204994797083,1.0,0.5590163934426226,0.45465682425331977,1.5499999999999985,0.02499999999999999,50.0,336.3,0.016129032258064505,1.0,0.016129032258064505,0.02499999999999999,0.0,0.025,1.0,0.0
NMEEF-SD,burczynski-pn-freq-2,1,127,59,68,22283,44566,-1.0,-1,-1,0.0,0.855072463768116,NaN,NaN,1.0,0.0,0.0,0.0,1.0,0.4645669291338583,0.4645669291338583,1.0,1.0,1.0,59.0,68.0
NMEEF-SD,chiaretti-pn-freq-2,1,128,74,54,12625,25250,-1.0,-1,-1,0.0,1.3454545454545455,NaN,NaN,1.0,0.0,0.0,0.0,1.0,0.578125,0.578125,1.0,1.0,1.0,74.0,54.0
NMEEF-SD,chin-pn-freq-2,1,118,75,43,22215,44430,-1.0,-1,-1,0.0,1.7045454545454546,NaN,NaN,1.0,0.0,0.0,0.0,1.0,0.635593220338983,0.635593220338983,1.0,1.0,1.0,75.0,43.0
NMEEF-SD,christensen-pn-freq-2,1,217,113,104,1413,2826,-1.0,-1,-1,0.0022085837456730893,1.0,0.9246148803670929,0.33626616576784757,1.9203539823008848,0.008849557522123902,50.0,231.4,0.004608294930875578,1.0,0.004608294930875578,0.008849557522123902,0.0,0.008849557522123894,1.0,0.0
NMEEF-SD,gravier-pn-freq-2,1,168,111,57,2905,5810,-1.0,-1,-1,0.020833333333333315,2.269230769230769,1.301090564248459,0.25401411556885467,1.063063063063063,0.09293504030346139,1.0,1.0,0.5,0.7023809523809523,0.35119047619047616,0.5315315315315315,0.43859649122807015,0.5315315315315315,59.0,25.0
NMEEF-SD,nakayama-pn-freq-2,1,105,21,84,22283,44566,-1.0,-1,-1,0.0,0.24705882352941178,NaN,NaN,1.0,0.0,0.0,0.0,1.0,0.2,0.2,1.0,1.0,1.0,21.0,84.0
NMEEF-SD,sun-pn-freq-2,1,180,81,99,54613,109227,-1.0,-1,-1,0.0,0.81,NaN,NaN,1.0,0.0,0.0,0.0,1.0,0.45,0.45,1.0,1.0,1.0,81.0,99.0
NMEEF-SD,tian-pn-freq-2,1,173,137,36,12625,25250,-1.0,-1,-1,0.0,3.7027027027027026,NaN,NaN,1.0,0.0,0.0,0.0,1.0,0.791907514450867,0.791907514450867,1.0,1.0,1.0,137.0,36.0
NMEEF-SD,yeoh-pn-freq-2,1,248,79,169,12625,25250,-1.0,-1,-1,0.0,0.4647058823529412,NaN,NaN,1.0,0.0,0.0,0.0,1.0,0.3185483870967742,0.3185483870967742,1.0,1.0,1.0,79.0,169.0
