Dataset,SD-k20-foWRAcc,SDrss-k20-foWRAcc,SSDP-k20-foWRAcc,SSDPplusS10Pbest-k20-foWRAcc,SSDPplusS10Prb-k20-foWRAcc,SSDPplusS50Pbest-k20-foWRAcc,SSDPplusS50Prb-k20-foWRAcc,SSDPplusS90Pbest-k20-foWRAcc,SSDPplusS90Prb-k20-foWRAcc
alon-pn-freq-2,0.1355098855359001,0.13246618106139435,0.13518730489073882,0.03502554157600983,0.05731703087062088,0.10798907388137358,0.10764047866805408,0.1344614984391259,0.13452653485952132
burczynski-pn-freq-2,0.16874263748527493,0.1674654349308698,0.16874263748527493,0.034872279744559476,0.07092380184760369,0.14100068200136398,0.14035247070494136,0.16765980531961056,0.16768057536115064
chiaretti-pn-freq-2,0.14166870117187497,0.1397705078125,0.14166870117187497,0.03308105468750001,0.043500142063069305,0.1169622802734375,0.11684753417968748,0.1409674072265625,0.140985107421875
chin-pn-freq-2,0.14506607296753807,0.14406779661016952,0.14506607296753807,0.03242135880494111,0.07640249449391938,0.12486318586613043,0.12396940534329219,0.14252370008618212,0.14252370008618212
christensen-pn-freq-2,0.21808915033234938,0.21695194206714946,0.2180872390579541,0.054685300259001125,0.13972813891425456,0.13343827645522308,0.13229023763511646,0.2152027012678121,0.21511435791798514
gravier-pn-freq-2,0.10615965136054425,0.10504889455782315,0.105921024659864,0.027846513605442175,0.04059198183241552,0.08841943027210883,0.08772161989795918,0.10364583333333335,0.10353582057823132
nakayama-pn-freq-2,0.1479047619047619,0.14714285714285721,0.14788571428571426,0.02214313561681983,0.02889761904761905,0.1178857142857143,0.1173428571428572,0.14679047619047625,0.14685714285714288
tian-pn-freq-2,0.06912860436366065,0.0687911390290354,0.0688141935914999,0.0241620167730295,0.02630569331544974,0.06649888068428614,0.06636322630224867,0.0688141935914999,0.06867068729326073
yeoh-pn-freq-2,0.21123748048907381,0.21096107570239336,0.21102123439125903,0.030475009755463058,0.08871599137183492,0.13702572190426637,0.1366207888917794,0.2048845603537981,0.20495162916233087
zsun-pn-freq-2,0.18602777777777788,0.18593055555555554,0.18605138888888897,0.03428055555555556,0.048524669312169304,0.13257083333333333,0.13159722222222223,0.1855486111111111,0.18555138888888892
